UNITID,AGENCY,FIRENAME,STARTDATE,ACRES,CAUSE,AREA,COUNTY
WASPD,Spokane BLM,Miller Homestead,2012-09-01,358.85424733,,Medical Lake,Spokane County
WAGPF,Gifford Pinchot NF,Cold Springs,2008-07-12,7982.99115908,Lightning,White Salmon,Klickitat County
WAOWF,Okan-Wen NF,Camels Hump,2008-07-24,116.58766164,Miscellaneou,Granite Falls,Chelan County
WANES,Washington DNR,Cayuse,2008-07-09,1744.23240931,Debris Burning,Tonasket,Okanogan County
ORCGF,Columbia RG NSA,Maryhill,2006-06-18,801.31017098,Miscellaneous,Goldendale,Klickitat County
WANES,Washington DNR,Gateway Lane,2006-07-15,113.23337569,Equipment Use,Cheney,Spokane County
WASPD,Spokane BLM,Badger Hollow,,7384.36197579,,Waitsburg,Walla Walla County
WASPD,Spokane BLM,Welch Road,,2570.95263392,,Waitsburg,Walla Walla County
WACOA,Colville Agency,Cameron Lake Road,2006-08-22,1568.08508591,Equipment Use,Omak,Okanogan County
WACOA,Colville Agency,Swawilla Basin,2006-07-14,81.54705464,Arson,Coulee Dam,Okanogan County
WANES,Washington DNR,Fruit Hill,2006-07-29,115.56873457,Arson,Millwood,Spokane County
WASES,Washington DNR,Palouse River,2006-08-23,654.42064529,,Colfax,Whitman County
WASPS,Washington DNR,Carbon Copy,2006-08-20,276.96979929,,Buckley,Pierce County
WAOWF,Okan-Wen NF,Trinity,2004-07-22,3.53739888,Lightning,Leavenworth,Chelan County
WAYAA,BIA - Yakima,Spring Creek,2004-04-27,707.44860477,Debris Burning,Toppenish,Yakima County
WAMSF,Mt. Baker-Snoq NF,Fathers Day,2004-06-19,20.49741933,,Enumclaw,King County
WAMSF,Mt. Baker-Snoq NF,Swift Creek,2004-07-17,172.91715912,Lightning,Darrington,Snohomish County
WAMSF,Mt. Baker-Snoq NF,Survey Point,2004-08-14,68.18346877,Lightning,Peaceful Valley,Whatcom County
WAOWF,Okan-Wen NF,Glory Mountain,,928.73201708,,Darrington,Snohomish County
WAOWF,Okan-Wen NF,Sweetgrass,1899-12-30,181.31181877,,Brewster,Okanogan County
WACOF,Colville Forest,Togo,1899-12-30,5218.37223585,,Grand Forks,
WAOWF,Okan-Wen NF,Wilcox,1899-12-30,440.55194426,,Oroville,Okanogan County
WAOWF,Okan-Wen NF,Middle Quartz Mt,1899-12-30,7402.71029315,,Princeton,
WAOWF,Okan-Wen NF,Quartz Mt,1899-12-30,4208.26815754,,Princeton,
,,Icicle Complex,1899-12-30,8006.07138871,,Leavenworth,Chelan County
WACOF,Colville Forest,Mt Leona,1899-12-30,4895.29862506,,Republic,Ferry County
WACOA,Colville Agency,Six Mile 2,2013-08-10,4.82819581,,Davenport,Lincoln County
WACOA,Colville Agency,Whitmore South,2013-08-10,169.38386915,Lightning,Coulee Dam,Okanogan County
WACOA,Colville Agency,Six Mile,2013-08-10,247.61427284,Lightning,Davenport,Lincoln County
WACOA,Colville Agency,Whitmore 3,2013-08-10,4.98457132,Lightning,Omak,Okanogan County
WANES,Washington DNR,Little Chopaka,2007-07-07,4428.34103214,Miscellaneous,Tonasket,Okanogan County
WAWFS,Washington Fire Ser,Easy Street,2007-07-07,5208.62753773,Miscellaneous,Sunnyslope,Chelan County
WAOWF,Okan-Wen NF,Crow Creek,2007-08-02,83.00827402,,Cle Elum,Kittitas County
WASPD,Spokane BLM,Douglas Creek,2007-07-09,3156.02448451,Fireworks,Quincy,Grant County
WANES,Washington DNR,Tunk Grade,2007-07-14,16498.0661451,Lightning,Tonasket,Okanogan County
WAWFS,Washington Fire Ser,Les Blair,2007-07-30,7037.32238023,,Finley,Benton County
WASES,Washington DNR,Beasley Hill,2007-08-14,85.71553363,,Ephrata,Grant County
WACOF,Colville Forest,Pend D'Oreille,2007-08-11,9730.19777611,Lightning,Fruitvale,
WANCP,North Cascades NP,Tolo,2007-07-15,293.17027386,Lightning,Darrington,Snohomish County
WAMCR,Mid Columbia NWR,Wautoma,2007-08-16,67291.4019476,Miscellaneous,Prosser,Benton County
,,Black Rock,2007-08-31,32139.3458542,,Warden,Grant County
,,Milepost 17,2007-08-13,6452.10513917,Miscellaneous,Benton City,Benton County
WAWFS,Washington Fire Ser,Horse Heaven Complex - McBee,2007-07-13,3097.28287273,Lightning,Benton City,Benton County
WASES,Washington DNR,Easton Ridge,2007-08-02,401.45718876,Equipment Use,Cle Elum,Kittitas County
,,South Omak Lake,2007-08-30,10508.6868555,Arson,Omak,Okanogan County
WAWFS,Washington Fire Ser,Horse Heaven Complex - Overlook,2007-07-13,19565.9006124,Lightning,Basin City,Franklin County
WACOA,Colville Agency,Manilla Creek,2007-09-10,26799.111004,Arson,Coulee Dam,Okanogan County
WASES,Washington DNR,Boughton Mill,2007-09-20,138.02876951,Railroad,Hood River,Hood River County
WAYAA,BIA - Yakima,Pine Spring,2007-08-11,1850.59474474,Arson,Toppenish,Yakima County
WAOWF,Okan-Wen NF,Domke Lake,2007-08-05,10333.1469595,Lightning,Granite Falls,Chelan County
,,Panther Creek WFU,2007-08-05,204.02074324,Lightning,Leavenworth,Chelan County
WANES,Washington DNR,Arbys 231,2007-09-07,6.56591815,Smoker,Deer Park,Spokane County
WANES,Washington DNR,Burnt Valley,2007-09-08,26.68260495,Electric Fen,Chewelah,Stevens County
,,Whispering Pines,2007-09-15,14.05962961,Debris Burning,Airway Heights,Spokane County
WANES,Washington DNR,Marshall,2007-08-11,384.39492484,,Cheney,Spokane County
WASES,Washington DNR,Ellensburg Pass,2007-09-10,452.84227509,,Tieton,Yakima County
WANES,Washington DNR,Chamokane Creek,2007-07-02,155.91204435,,Fairchild Air Force Base,Spokane County
WANES,Washington DNR,Wrights Valley,2007-09-03,226.2296809,,Chewelah,Stevens County
WAOWF,Okan-Wen NF,Conrad Lake,2013-08-13,1103.61827514,Lightning,Tieton,Yakima County
WASPD,Spokane BLM,Burbank,2013-07-22,202.56539926,Miscellaneous,Terrace Heights,Yakima County
WANES,Washington DNR,Keystone North,2013-08-01,459.27384782,,Tonasket,Okanogan County
WANES,Washington DNR,Keystone,2013-08-01,434.30627469,Lightning,Omak,Okanogan County
WANES,Washington DNR,Tunk Peak,2013-08-01,12.60465328,Lightning,Omak,Okanogan County
WANES,Washington DNR,Corral Lake,2013-08-01,0.97553084,,Omak,Okanogan County
WAWFS,Washington Fire Ser,Dead Canyon,2013-09-10,3707.96752909,Miscellaneous,Mabton,Yakima County
WASPD,Spokane BLM,Webber,2013-09-18,681.24456714,Fireworks,Benton City,Benton County
WAWFS,Washington Fire Ser,B&O,2013-07-15,1451.15506547,,Okanogan,Okanogan County
WASPD,Spokane BLM,Ione,2013-07-04,338.53388027,Miscellaneou,Pasco,Franklin County
WASES,Washington DNR,Grand Ronde,2013-08-29,613.01624071,Lightning,Asotin,Asotin County
WASES,Washington DNR,Mail Trail,2013-06-09,2495.18488054,Miscellaneous,Asotin,Asotin County
WAPCS,Washington DNR,Dog Mountain,2013-05-04,198.76699347,,Morton,Lewis County
ORCGF,Columbia RG NSA,Major Creek,2013-07-03,149.20407701,Miscellaneous,White Salmon,Klickitat County
WAOWF,Okan-Wen NF,Alpine,2014-08-01,19.39150427,Lightning,Leavenworth,Chelan County
WAOWF,Okan-Wen NF,Chiwaukum Creek,2014-07-15,13894.5896715,Lightning,Leavenworth,Chelan County
WAOWF,Okan-Wen NF,Mills Canyon,2014-07-08,22005.9706214,Structure Fire,Entiat,Chelan County
WASES,Washington DNR,Cottonwood,2014-06-17,8942.47740757,Miscellaneous,Selah,Yakima County
WASES,Washington DNR,25 Mile,2014-07-10,218.18466237,Unknown,Granite Falls,Chelan County
WASES,Washington DNR,Skookum,2014-07-14,60.84558516,,Chenoweth,Wasco County
WANES,Washington DNR,Carlton Complex-Rising Eagle Rd,2014-07-14,255899.595766,Lightning,Brewster,Okanogan County
WACOA,Colville Agency,Devils Elbow,2014-08-03,24003.2145444,Lightning,Republic,Ferry County
WASPD,Spokane BLM,Watermelon,2014-07-19,11416.9819524,Unknown,Medical Lake,Spokane County
WAOWF,Okan-Wen NF,Upper Falls,2014-08-06,8113.6673509,Lightning,Brewster,Okanogan County
WAOWF,Okan-Wen NF,South Cle Elum Ridge,2014-08-07,887.71468802,,Cle Elum,Kittitas County
WASES,Washington DNR,I-82 Manashtash,2014-07-03,1994.73311738,Burnin Material,Kittitas,Kittitas County
