UNITID,AGENCY,FIRENAME,STARTDATE,ACRES,CAUSE
WAYAA,BIA - YAKIMA,MILE MARKER 44,2004-08-11,126.13880661,UNKNOWN
WAOWF,OKAN-WEN NF,CAPE LABELLE,2001-08-01,260.35904241,UNKNOWN
WA,UNKNOWN,AVERY,2003-07-13,284.03341072,UNKNOWN
WASES,WA DNR - SE REGION,ROCKY FORD,2006-06-28,3183.48271274,UNKNOWN
ORUMF,UMATILLA NF,COTTONWOOD,2007-08-18,3399.02911089,EQUIPMENT USE
WAOWF,OKAN-WEN NF,LEMAH,2009-07-25,649.35772031,LIGHTNING
WAOWF,OKAN-WEN NF,SHULL RIDGE,2009-07-17,211.74649621,LIGHTNING
WAOWF,OKAN-WEN NF,SABLE,2009-07-30,542.3959842999999,LIGHTNING
WAMSF,MT. BAKER-SNOQ NF,MINERAL PARK,2003-08-01,403.96614476,UNKNOWN
WAMSF,MT. BAKER-SNOQ NF,SWIFT CREEK,2004-07-24,536.76631734,LIGHTNING
WAMSF,MT. BAKER-SNOQ NF,SPRING,2009-08-26,219.66443002,LIGHTNING
WAOWF,OKAN-WEN NF,POWDER MOUNTAIN,2009-07-26,194.43637588,LIGHTNING
WAOWF,OKAN-WEN NF,FOAM CREEK WFU,2008-08-08,602.4755335,LIGHTNING
WAMSF,MT. BAKER-SNOQ NF,DOWNEY,2004-08-01,319.68472309,UNKNOWN
WAMSF,MT. BAKER-SNOQ NF,SONNY BOY,2003-08-01,391.14601969,UNKNOWN
WAMSF,MT. BAKER-SNOQ NF,DOME CREEK,2004-08-01,229.20416381,UNKNOWN
WAOWF,OKAN-WEN NF,MCCOY,2007-09-27,484.66368623,UNKNOWN
WAOWF,OKAN-WEN NF,EIGHTMILE,2010-08-18,189.89080314,LIGHTNING
WAOWF,OKAN-WEN NF,CRYSTAL,2003-08-01,1284.65082626,UNKNOWN
WASES,WA DNR - SE REGION,MIDDLE FORK,2003-08-01,2109.98353987,UNKNOWN
WASES,WA DNR - SE REGION,CARPENTER GULCH,2008-07-09,120.72322439999999,UNKNOWN
WASES,WA DNR - SE REGION,NORTH FORK,2005-08-29,136.25182958,UNKNOWN
WACOA,COLVILLE AGENCY,RATTLESNAKE,2013-07-04,506.66199677,UNKNOWN
WASES,WA DNR - SE REGION,25 MILE,2013-07-04,2097.80322123,UNKNOWN
WACOA,COLVILLE AGENCY,HWY 155,2013-07-10,194.22565463,UNKNOWN
WANES,WA DNR - NE REGION,KNOX IN THE MIDDLE,2013-08-01,79.74378985,LIGHTNING
WANES,WA DNR - NE REGION,KNOX KNOX,2013-08-01,3.95287959,LIGHTNING
WAOWF,OKAN-WEN NF,MOORE POINT,2013-07-28,1573.13792257,LIGHTNING
WAYAA,BIA - YAKIMA,MILE MARKER 28,2013-07-24,26091.66238271,UNKNOWN
WASES,WA DNR - SE REGION,EUREKA,2010-08-06,20835.47526597,UNKNOWN
WAOWF,OKAN-WEN NF,BOULDER CREEK,2010-08-04,10100.76006235,UNKNOWN
WAOLP,OLYMPIC NP,HOPPER,2010-08-05,385.06521319,LIGHTNING
WANES,WA DNR - NE REGION,FISH HATCHERY,2010-08-26,646.51561266,POWER LINE
WASES,WA DNR - SE REGION,HIWAY 8 FIRE,2010-08-26,2018.38353788,POWER LINE
WANES,WA DNR - NE REGION,SLIDE CREEK,2010-08-26,990.42358019,POWER LINE
WACOA,COLVILLE AGENCY,BUFFALO LAKE,2010-08-27,407.94807233,ARSON
WASES,WA DNR - SE REGION,BAIRD SPRINGS,2010-09-10,7668.88221653,UNKNOWN
WAHNC,HANFORD,FFTF,2010-08-01,1266.00595102,UNKNOWN
WAPCS,WA DNR - PC REGION,HILLTOP,2010-08-14,133.99953977,UNKNOWN
WAPCS,WA DNR - PC REGION,SPEELYAI,2010-07-24,122.54881002,UNKNOWN
WAWFS,WA FIRE SERVICE,VANSYCLE CANYON,2011-08-07,4509.45682982,UNKNOWN
WAOWF,OKAN-WEN NF,TUMWATER CANYON,2011-08-18,458.11336064,UNKNOWN
WANES,WA DNR - NE REGION,SALMON,2011-08-29,1979.07434739,UNKNOWN
WAOLP,OLYMPIC NP,BIG HUMP,2011-09-01,1238.08228311,UNKNOWN
WAWFS,WA FIRE SERVICE,WISHRAM II,2011-08-29,9064.45533217,UNKNOWN
WASES,WA DNR - SE REGION,MONASTERY COMPLEX,2011-09-07,3621.14474022,UNKNOWN
WANES,WA DNR - NE REGION,BARBER MOUNTAIN,2011-09-19,814.61351612,UNKNOWN
WACOA,COLVILLE AGENCY,KWEI KWEI CREEK,2011-08-06,625.77331179,UNKNOWN
WANES,WA DNR - NE REGION,MARYLS ROAD,2011-08-09,408.59884586,UNKNOWN
WASES,WA DNR - SE REGION,WASHINGTON CREEK,2011-08-01,245.68283678,UNKNOWN
WASPS,WA DNR - SPS REGION,EELS HILL,2011-08-17,49.978084700000004,UNKNOWN
WASES,WA DNR - SE REGION,NAVARRE,2012-07-05,602.21934453,UNKNOWN
WASPD,SPOKANE BLM,241-BLM,2012-07-19,4614.20558781,UNKNOWN
WASPD,SPOKANE BLM,ANTOINE 2,2012-08-05,6838.65621357,UNKNOWN
WACOA,COLVILLE AGENCY,BUFFALO LAKE ROAD,2012-08-15,11307.50802329,LIGHTNING
WASPD,SPOKANE BLM,DEATH WIND CANYON,2012-08-19,824.0437755,LIGHTNING
WASES,WA DNR - SE REGION,TAYLOR BRIDGE,2012-08-13,23501.08189576,UNKNOWN
WAYAA,BIA - YAKIMA,DIAMOND BUTTE,2012-08-19,284.42605119,UNKNOWN
WASPD,SPOKANE BLM,ROOSEVELT,2012-07-03,2826.61213127,UNKNOWN
ORWWF,WALLOWA-WHITMAN NF,CACHE CREEK,2012-08-21,73694.73896911,UNKNOWN
WASES,WA DNR - SE REGION,HIGHWAY 141,2012-09-05,1635.84274497,UNKNOWN
WACOA,COLVILLE AGENCY,MANILA CREEK,2012-09-09,200.75702243,LIGHTNING
WACOA,COLVILLE AGENCY,TOP OF PETER DAN CREEK,2012-09-08,20.24074146,LIGHTNING
WACOA,COLVILLE AGENCY,TIMM BROTHERS,2012-09-09,1358.68394334,UNKNOWN
WACOA,COLVILLE AGENCY,JIM CREEK #3,2012-09-08,26.1523987,LIGHTNING
WAWFS,WA FIRE SERVICE,LEAHY JUNCTION,2012-09-10,72425.92991647,LIGHTNING
WASPD,SPOKANE BLM,BARKER CANYON,2012-09-08,15804.25044832,UNKNOWN
WAWFS,WA FIRE SERVICE,APACHE PASS,2012-09-09,23324.09347551,UNKNOWN
WAOWF,OKAN-WEN NF,LEECHER,2012-09-09,1319.70299959,LIGHTNING
WAOWF,OKAN-WEN NF,HUNTER,2012-09-09,211.42089207,LIGHTNING
WAOWF,OKAN-WEN NF,TRAIL CREEK,2012-09-09,24.11552485,LIGHTNING
WAOWF,OKAN-WEN NF,STAFFORD CREEK,2012-09-09,33.80616122,LIGHTNING
WAOWF,OKAN-WEN NF,DIAMOND HEAD,2012-09-10,1055.94721861,UNKNOWN
WAOWF,OKAN-WEN NF,GOLD CREEK SPRINGS,2012-09-09,31.51178589,LIGHTNING
WAOWF,OKAN-WEN NF,OLD BLEWETT PASS,2012-09-10,22.4092772,LIGHTNING
WAOWF,OKAN-WEN NF,MOON BEAM,2012-09-10,0.30379979,LIGHTNING
WAOWF,OKAN-WEN NF,JACK CREEK PASS,2012-09-09,7.27095038,UNKNOWN
WAOWF,OKAN-WEN NF,BYRD,2012-09-09,14164.08513399,LIGHTNING
WAOWF,OKAN-WEN NF,TIMBER CREEK,2012-09-15,153.01404743,UNKNOWN
WAOWF,OKAN-WEN NF,WILD ROSE,2012-09-09,1926.29887951,UNKNOWN
WANES,WA DNR - NE REGION,CHAMOKANE CREEK,2007-07-02,155.91204468,UNKNOWN
WAOWF,OKAN-WEN NF,BUCKHORN,2012-09-09,4631.12177558,LIGHTNING
WAOWF,OKAN-WEN NF,FRENCH CABIN CREEK,2012-09-10,42.73913369,LIGHTNING
WAOWF,OKAN-WEN NF,FIRST CREEK,2012-09-09,1361.00014754,LIGHTNING
WAOWF,OKAN-WEN NF,MAVERICK,2012-09-11,20.54254177,LIGHTNING
WAOWF,OKAN-WEN NF,GOAT,2012-09-15,7377.6025074,UNKNOWN
WAOWF,OKAN-WEN NF,POISON CANYON,2012-09-08,5931.40079488,LIGHTNING
WAOWF,OKAN-WEN NF,CANYON,2012-09-09,7557.52421717,LIGHTNING
WAOWF,OKAN-WEN NF,WHITE PINE,2012-09-11,60.85919638,LIGHTNING
WAOWF,OKAN-WEN NF,CASHMERE,2012-09-09,2791.69448074,UNKNOWN
WAOWF,OKAN-WEN NF,PYRAMID,2012-09-09,1906.12772526,LIGHTNING
WAOWF,OKAN-WEN NF,KLONE PEAK,2012-09-09,1506.49192302,LIGHTNING
WAOWF,OKAN-WEN NF,BASALT PEAK,2012-09-12,1261.05014419,UNKNOWN
WAOWF,OKAN-WEN NF,CUITIN LAKE,2012-09-11,309.12280753,LIGHTNING
WAOWF,OKAN-WEN NF,SEARS CREEK,2012-09-09,656.20735759,UNKNOWN
WAOWF,OKAN-WEN NF,PEAVINE CANYON,2012-09-08,19997.98138104,LIGHTNING
WASPS,WA DNR - SPS REGION,POWERLINE #2,2012-10-04,229.4779795,ARSON
WAOWF,OKAN-WEN NF,TABLE MOUNTAIN FIRE,2012-09-15,42481.23861478,LIGHTNING
WACOA,COLVILLE AGENCY,ST MARY'S MISSION ROAD,2012-10-02,16853.18303864,UNKNOWN
WAGPF,GIFFORD PINCHOT NF,CASCADE CREEK,2012-09-09,20096.32065296,LIGHTNING
WACOF,COLVILLE NF,RADIO,2012-09-11,190.95832857,LIGHTNING
WAGPF,GIFFORD PINCHOT NF,SOUTH POINT,2012-09-19,336.81498277,UNKNOWN
WASES,WA DNR - SE REGION,FOSTER CREEK,2012-07-12,1294.12726798,LIGHTNING
WASES,WA DNR - SE REGION,QUILOMENE,2012-07-12,156.93495816,LIGHTNING
WASES,WA DNR - SE REGION,LITTTLE PARKE CREEK,2012-09-05,692.94103598,RECREATION
WACOA,COLVILLE AGENCY,METEOR,2012-04-11,210.58514453,UNKNOWN
WACOA,COLVILLE AGENCY,SOUTH OMAK LAKE,2012-07-13,1002.99843724,UNKNOWN
WAYAA,BIA - YAKIMA,NORTH AHTANUM,2012-08-31,1661.10995281,UNKNOWN
WASPD,SPOKANE BLM,CACHE BUTTE,2012-07-10,470.30298593,UNKNOWN
WASPD,SPOKANE BLM,CRANE ROAD,2012-08-01,11131.87513842,UNKNOWN
WASPD,SPOKANE BLM,WASHOUT,2012-06-30,595.70041073,UNKNOWN
WAGPF,GIFFORD PINCHOT NF,COLD SPRINGS,2008-07-12,7982.99113452,LIGHTNING
WAOLS,WA DNR - OLY REGION,BECKETT POINT,2011-09-05,19.08746161,UNKNOWN
WASPS,WA DNR - SPS REGION,CALIFORNIA RD,2011-08-14,0.40223456,UNKNOWN
WAWFS,WA FIRE SERVICE,BELL PLAIN,2011-09-05,3951.88057295,UNKNOWN
WAOWF,OKAN-WEN NF,CAMELS HUMP,2008-07-24,116.58766848,UNKNOWN
WANES,WA DNR - NE REGION,CAYUSE,2008-07-09,1744.23240162,DEBRIS BURN
ORCGF,COLUMBIA RG NSA,MARYHILL,2006-06-18,801.310141,UNKNOWN
WANES,WA DNR - NE REGION,GATEWAY LANE,2006-07-15,113.23336596,EQUIPMENT USE
WASPD,SPOKANE BLM,BADGER HOLLOW,2006-08-01,7384.36203656,UNKNOWN
WASPD,SPOKANE BLM,WELCH ROAD,2006-08-01,2570.95243167,UNKNOWN
WACOA,COLVILLE AGENCY,CAMERON LAKE ROAD,2006-08-22,1568.08507291,EQUIPMENT USE
WACOA,COLVILLE AGENCY,SWAWILLA BASIN,2006-07-14,81.54705117,ARSON
WANES,WA DNR - NE REGION,FRUIT HILL,2006-07-29,115.56873834,ARSON
WASES,WA DNR - SE REGION,PALOUSE RIVER,2006-08-23,654.42068351,UNKNOWN
WASPS,WA DNR - SPS REGION,CARBON COPY,2006-08-20,276.96980421,UNKNOWN
WAOWF,OKAN-WEN NF,TRINITY,2004-07-22,3.53739765,LIGHTNING
WAYAA,BIA - YAKIMA,SPRING CREEK,2004-04-27,707.44859209,DEBRIS BURN
WAMSF,MT. BAKER-SNOQ NF,FATHERS DAY,2004-06-19,20.49742216,UNKNOWN
WAMSF,MT. BAKER-SNOQ NF,SWIFT CREEK,2004-07-17,172.91715969999998,LIGHTNING
WAMSF,MT. BAKER-SNOQ NF,SURVEY POINT,2004-08-14,68.18345872,LIGHTNING
WAOWF,OKAN-WEN NF,GLORY MOUNTAIN,2001-08-01,928.73202986,UNKNOWN
WAOWF,OKAN-WEN NF,SWEETGRASS,2003-08-01,181.31183649,UNKNOWN
WACOF,COLVILLE NF,TOGO,2003-08-01,5218.37220836,UNKNOWN
WAOWF,OKAN-WEN NF,WILCOX,2003-08-01,440.55194383,UNKNOWN
WAOWF,OKAN-WEN NF,MIDDLE QUARTZ MT,2002-08-01,7402.71028141,UNKNOWN
WAOWF,OKAN-WEN NF,QUARTZ MT,2002-08-01,4208.26808036,UNKNOWN
WA,UNKNOWN,ICICLE COMPLEX,2001-08-14,8006.07151715,LIGHTNING
WANES,WA DNR - NE REGION,MARSHALL,2007-08-11,384.39492287,UNKNOWN
WASES,WA DNR - SE REGION,ELLENSBURG PASS,2007-09-10,452.8422728,UNKNOWN
WACOF,COLVILLE NF,MT LEONA,2001-08-01,4895.29859926,UNKNOWN
WACOA,COLVILLE AGENCY,SIX MILE 2,2013-08-10,4.82819487,UNKNOWN
WACOA,COLVILLE AGENCY,WHITMORE SOUTH,2013-08-10,169.38386422,LIGHTNING
WACOA,COLVILLE AGENCY,SIX MILE,2013-08-10,247.61426584,LIGHTNING
WACOA,COLVILLE AGENCY,WHITMORE 3,2013-08-10,4.98456802,LIGHTNING
WANES,WA DNR - NE REGION,LITTLE CHOPAKA,2007-07-07,4428.34102028,UNKNOWN
WAWFS,WA FIRE SERVICE,EASY STREET,2007-07-07,5208.62754937,UNKNOWN
WAOWF,OKAN-WEN NF,CROW CREEK,2007-08-02,83.00827509999999,UNKNOWN
WASPD,SPOKANE BLM,DOUGLAS CREEK,2007-07-09,3156.02448129,FIREWORKS
WANES,WA DNR - NE REGION,TUNK GRADE,2007-07-14,16498.06617585,LIGHTNING
WAWFS,WA FIRE SERVICE,LES BLAIR,2007-07-30,7037.32239857,UNKNOWN
WASES,WA DNR - SE REGION,BEASLEY HILL,2007-08-14,85.71552881,UNKNOWN
WACOF,COLVILLE NF,PEND D'OREILLE,2007-08-11,9730.19778533,LIGHTNING
WANCP,NORTH CASCADES NP,TOLO,2007-07-15,293.17027851,LIGHTNING
WAMCR,MID COLUMBIA NWR,WAUTOMA,2007-08-16,67291.4018444,UNKNOWN
WA,UNKNOWN,BLACK ROCK,2007-08-31,32139.34579784,UNKNOWN
WA,UNKNOWN,MILEPOST 17,2007-08-13,6452.10503245,UNKNOWN
WAWFS,WA FIRE SERVICE,HORSE HEAVEN COMPLEX - MCBEE,2007-07-13,3097.28286821,LIGHTNING
WASES,WA DNR - SE REGION,EASTON RIDGE,2007-08-02,401.45718434,EQUIPMENT USE
WA,UNKNOWN,SOUTH OMAK LAKE,2007-08-30,10508.686852200002,ARSON
WAWFS,WA FIRE SERVICE,HORSE HEAVEN COMPLEX - OVERLOOK,2007-07-13,19565.90062349,LIGHTNING
WACOA,COLVILLE AGENCY,MANILLA CREEK,2007-09-10,26799.11099589,ARSON
WASES,WA DNR - SE REGION,BOUGHTON MILL,2007-09-20,138.02876607,RAILROAD
WAYAA,BIA - YAKIMA,PINE SPRING,2007-08-11,1850.59474959,ARSON
WAOWF,OKAN-WEN NF,DOMKE LAKE,2007-08-05,10333.14695436,LIGHTNING
WA,UNKNOWN,PANTHER CREEK WFU,2007-08-05,204.02074262,LIGHTNING
WANES,WA DNR - NE REGION,ARBYS 231,2007-09-07,6.56591814,HUMAN
WANES,WA DNR - NE REGION,BURNT VALLEY,2007-09-08,26.68260214,ELECTRIC FENCE
WA,UNKNOWN,WHISPERING PINES,2007-09-15,14.05962924,DEBRIS BURN
WASPD,SPOKANE BLM,MILLER HOMESTEAD,2012-09-01,358.85403571,UNKNOWN
WANES,WA DNR - NE REGION,WRIGHTS VALLEY,2007-09-03,226.22968132,UNKNOWN
WAOWF,OKAN-WEN NF,CONRAD LAKE,2013-08-13,1103.61828217,LIGHTNING
WASPD,SPOKANE BLM,BURBANK,2013-07-22,202.56539119,UNKNOWN
WANES,WA DNR - NE REGION,KEYSTONE NORTH,2013-08-01,459.27384245,UNKNOWN
WANES,WA DNR - NE REGION,KEYSTONE,2013-08-01,434.30626536,LIGHTNING
WANES,WA DNR - NE REGION,TUNK PEAK,2013-08-01,12.60465383,LIGHTNING
WANES,WA DNR - NE REGION,CORRAL LAKE,2013-08-01,0.97552986,UNKNOWN
WAWFS,WA FIRE SERVICE,DEAD CANYON,2013-09-10,3707.96743489,UNKNOWN
WASPD,SPOKANE BLM,WEBBER,2013-09-18,681.24457214,FIREWORKS
WAWFS,WA FIRE SERVICE,B&O,2013-07-15,1451.1550919000001,UNKNOWN
WASPD,SPOKANE BLM,IONE,2013-07-04,338.53387351,UNKNOWN
WASES,WA DNR - SE REGION,GRAND RONDE,2013-08-29,613.01622248,LIGHTNING
WASES,WA DNR - SE REGION,MAIL TRAIL,2013-06-09,2495.18489127,UNKNOWN
WAPCS,WA DNR - PC REGION,DOG MOUNTAIN,2013-05-04,198.76701237,UNKNOWN
ORCGF,COLUMBIA RG NSA,MAJOR CREEK,2013-07-03,149.20407621,UNKNOWN
WAOWF,OKAN-WEN NF,ALPINE,2014-08-01,19.39150482,LIGHTNING
WAOWF,OKAN-WEN NF,CHIWAUKUM CREEK,2014-07-15,13894.58962778,LIGHTNING
WAWFS,WA FIRE SERVICE,SNAKE RIVER,2016-08-02,11366.23858601,HUMAN
WAOLP,OLYMPIC NP,COX VALLEY,2016-07-21,56.99801953,LIGHTNING
WANWS,WA DNR - NW REGION,HOT SHOT,2016-05-12,59.49864153,UNKNOWN
WASPD,SPOKANE BLM,WEBBER CANYON,2016-05-11,504.28730502,UNKNOWN
WASPD,SPOKANE BLM,SUNLAND,2016-05-29,1912.50084442,HUMAN
WACOA,COLVILLE AGENCY,TIMM RANCH,2016-06-08,1357.3019961,UNKNOWN
WASPD,SPOKANE BLM,BEAM ROAD,2016-06-20,1293.95488443,HUMAN
WASPD,SPOKANE BLM,ROCKY FORD,2016-07-09,1951.63481684,HUMAN
WASPD,SPOKANE BLM,MCBEE COMMAND,2016-07-14,1689.16982852,HUMAN
WASES,WA DNR - SE REGION,ANTILON LAKE,2016-07-29,827.07515956,UNKNOWN
WASPD,SPOKANE BLM,BLACK ROCK ROAD,2016-07-30,16005.33672165,UNKNOWN
WAOWF,OKAN-WEN NF,HALFWAY,2016-07-31,341.24725689999997,HUMAN
WASPD,SPOKANE BLM,RANGE 12,2016-07-30,176580.63221659,UNKNOWN
WAWFS,WA FIRE SERVICE,ROAD 10,2016-08-02,2567.78464465,UNKNOWN
WACOA,COLVILLE AGENCY,KEWA,2016-08-02,1893.98283359,UNKNOWN
WAYAA,BIA - YAKIMA,TULE #6,2016-08-21,8469.38731608,UNKNOWN
WAWFS,WA FIRE SERVICE,KAHLOTUS,2016-08-21,8463.65626039,UNKNOWN
WANES,WA DNR - NE REGION,WELLESLEY,2016-08-21,341.17201945,UNKNOWN
WANES,WA DNR - NE REGION,CAYUSE MTN.,2016-08-21,18095.96213619,HUMAN
WANES,WA DNR - NE REGION,YALE,2016-08-21,5870.234324100001,UNKNOWN
WANES,WA DNR - NE REGION,HART,2016-08-21,4936.45939127,UNKNOWN
WANES,WA DNR - NE REGION,DEEP NORTH,2016-08-21,590.98276295,UNKNOWN
WAOWF,OKAN-WEN NF,MILLS CANYON,2014-07-08,22005.97065323,STRUCTURE FIRE
WASES,WA DNR - SE REGION,SUNCREST,2016-08-27,420.12428774,UNKNOWN
WASES,WA DNR - SE REGION,COTTONWOOD,2014-06-17,8942.47742054,UNKNOWN
WASES,WA DNR - SE REGION,25 MILE,2014-07-10,218.18466731,UNKNOWN
WASES,WA DNR - SE REGION,SKOOKUM,2014-07-14,60.84558576,UNKNOWN
WANES,WA DNR - NE REGION,CARLTON COMPLEX-RISING EAGLE RD,2014-07-14,255899.59574273,LIGHTNING
WACOA,COLVILLE AGENCY,DEVILS ELBOW,2014-08-03,24003.21453281,LIGHTNING
WASPD,SPOKANE BLM,WATERMELON,2014-07-19,11416.981906,UNKNOWN
WAOWF,OKAN-WEN NF,UPPER FALLS,2014-08-06,8113.66736329,LIGHTNING
WAOWF,OKAN-WEN NF,SOUTH CLE ELUM RIDGE,2014-08-07,887.71468514,UNKNOWN
WASES,WA DNR - SE REGION,I-82 MANASHTASH,2014-07-03,1994.73310648,BURNING MATERIAL
WASES,WA DNR - SE REGION,YAXON CANYON,2014-09-22,45.838272700000005,LIGHTNING
WASES,WA DNR - SE REGION,FOSTER CREEK,2014-06-03,377.3075606,LIGHTNING
WASES,WA DNR - SE REGION,BOX CANYON,2014-08-03,54.74024098,LIGHTNING
WASES,WA DNR - SE REGION,AUVIL CANYON,2014-08-21,633.13542642,LIGHTNING
WASES,WA DNR - SE REGION,BMIDC INC 881,2014-08-11,131.76951708,LIGHTNING
WASES,WA DNR - SE REGION,BMIDC INC 879,2014-08-11,30.07020222,LIGHTNING
WAPCS,WA DNR - PC REGION,TEAGUE RD,2014-08-10,58.57170025,UNKNOWN
WACOA,COLVILLE AGENCY,BELVEDERE,2014-06-04,865.45745791,UNKNOWN
WACOA,COLVILLE AGENCY,BRODY CANYON,2014-06-12,818.24416787,UNKNOWN
WACOA,COLVILLE AGENCY,LAWSON FLATS,2014-04-07,410.67355137,HUMAN
WANES,WA DNR - NE REGION,RUNNING DEER,2014-08-27,25.61081679,UNKNOWN
WASES,WA DNR - SE REGION,SADDLE MOUNTAIN,2014-07-18,24917.44287758,UNKNOWN
WAPCS,WA DNR - PC REGION,MINERAL HILL,2014-09-07,6.09674558,UNKNOWN
WASPD,SPOKANE BLM,MALAGA,2014-05-28,1248.52299942,LIGHTNING
WACOA,COLVILLE AGENCY,SILVER CREEK II,2014-07-04,273.91414312,HUMAN
WAWFS,WA FIRE SERVICE,ROCK HILL,2014-07-06,1129.53261576,HUMAN
WANES,WA DNR - NE REGION,LAKE SPOKANE,2014-07-09,1016.31089024,STRUCTURE FIRE
WASPD,SPOKANE BLM,R ROAD,2014-07-16,3320.86236455,UNKNOWN
WANES,WA DNR - NE REGION,BUGG ROAD,2014-07-21,1168.94735515,HUMAN
WAOWF,OKAN-WEN NF,SHOOFLY,2014-08-04,163.05324888,LIGHTNING
WANWS,WA DNR - NW REGION,PROCTOR CREEK 62 RD,2016-05-13,289.15345057,UNKNOWN
WAMCR,MID COLUMBIA NWR,DIVISION ROAD,2016-08-10,722.28632487,UNKNOWN
WASPD,SPOKANE BLM,LOWER CRAB CREEK,2016-08-05,5746.62856025,UNKNOWN
WAOLP,OLYMPIC NP,HAYES TWO,2016-07-26,2389.9156134,LIGHTNING
WAOLP,OLYMPIC NP,GODKIN,2016-07-25,563.31251177,LIGHTNING
WAOLP,OLYMPIC NP,IGNAR CREEK,2016-07-29,79.93271576,LIGHTNING
WASPD,SPOKANE BLM,MORRIS LANE,2016-07-28,1414.5968398,HUMAN
WACOA,COLVILLE AGENCY,ELMER CITY,2016-09-11,5491.12975663,HUMAN
WAWFS,WA FIRE SERVICE,STARBUCK,2016-07-17,2481.14595978,HUMAN
WAWFS,WA FIRE SERVICE,FLETCHER ROAD,2016-08-07,6780.17975416,LIGHTNING
WAWFS,WA FIRE SERVICE,230 SWITCH YARD,2016-09-12,234.20966066,UNKNOWN
WASPD,SPOKANE BLM,OLD LADY CREEK,2016-09-10,2548.08769402,UNKNOWN
WAOWF,OKAN-WEN NF,ROCK CREEK,2016-09-10,1382.51249499,UNKNOWN
WANES,WA DNR - NE REGION,PICKENS NORTH,2016-08-24,724.04509913,HUMAN
WAWFS,WA FIRE SERVICE,SOUTH WARD GAP,2016-07-31,5039.58157351,UNKNOWN
WANCP,NORTH CASCADES NP,LONE MOUNTAIN 1,2014-07-14,2436.74850045,LIGHTNING
WAWFS,WA FIRE SERVICE,SAND RIDGE,2014-08-20,2276.76296247,LIGHTNING
WAOWF,OKAN-WEN NF,LITTLE BRIDGE CREEK,2014-08-03,4959.32444003,LIGHTNING
WAGPF,GIFFORD PINCHOT NF,ALDER LAKE,2015-07-26,359.40817821,LIGHTNING
WASPD,SPOKANE BLM,PEGG CANYON,2015-07-10,14769.15206569,LIGHTNING
WAWFS,WA FIRE SERVICE,TRINIDAD,2014-09-13,211.19508489999998,HUMAN
WAOWF,OKAN-WEN NF,MIDDLE MOUNTAIN,2014-07-13,412.45700483,LIGHTNING
WAWFS,WA FIRE SERVICE,MONUMENTAL,2014-09-03,11402.42567371,HUMAN
WASPD,SPOKANE BLM,BIGHORN,2014-08-06,265.97106069,UNKNOWN
WASPD,SPOKANE BLM,COYOTE FLATS,2014-07-14,1785.49945304,LIGHTNING
WASES,WA DNR - SE REGION,STATION,2014-08-04,37.38143728,UNKNOWN
WANCP,NORTH CASCADES NP,THUNDER CREEK,2015-05-30,103.31840727,LIGHTNING
WANES,WA DNR - NE REGION,EGYPT LOOP 2,2015-06-15,209.70229117,UNKNOWN
WAMCR,MID COLUMBIA NWR,SADDLE LAKES,2015-06-28,14449.33042069,LIGHTNING
WASES,WA DNR - SE REGION,SLEEPY HOLLOW,2015-06-28,2953.61247596,UNKNOWN
WAWFS,WA FIRE SERVICE,JUNCTION,2015-07-05,981.15973324,UNKNOWN
WASES,WA DNR - SE REGION,DAVIES PASS,2015-07-02,1300.21261557,UNKNOWN
WASPD,SPOKANE BLM,BEEZLEY HILL,2015-07-05,1715.42564228,UNKNOWN
WASPD,SPOKANE BLM,WILLOW SPRINGS,2015-07-05,486.06882163,UNKNOWN
WACOA,COLVILLE AGENCY,TWENTY-ONE MILE GRADE,2015-07-01,2252.2362802,HUMAN
WANES,WA DNR - NE REGION,231,2015-07-03,970.70649398,HUMAN
WANES,WA DNR - NE REGION,LITTLE SPOKANE,2015-07-11,167.81192034,UNKNOWN
WAGPF,GIFFORD PINCHOT NF,HORSESHOE,2015-07-03,340.18107918,LIGHTNING
WAGPF,GIFFORD PINCHOT NF,RILEY,2015-07-09,65.1330744,LIGHTNING
WAOWF,OKAN-WEN NF,WILDHORSE,2015-07-20,163.43600672,LIGHTNING
WAPCS,WA DNR - PC REGION,COLVIN CREEK,2015-07-19,110.63053868,HUMAN
WASES,WA DNR - SE REGION,BLUE CREEK,2015-07-20,5992.50549703,UNKNOWN
WACOF,COLVILLE NF,NORTH BOULDER 2,2015-07-20,232.57869168,LIGHTNING
WAOWF,OKAN-WEN NF,BUCK CREEK,2016-07-22,3207.42894521,LIGHTNING
WAOWF,OKAN-WEN NF,SAUL,2016-08-21,463.72948718,UNKNOWN
WAPCS,WA DNR - PC REGION,GISH,2015-08-09,101.43773091,UNKNOWN
WANES,WA DNR - NE REGION,9 MILE,2015-08-13,4720.39583362,UNKNOWN
WACOF,COLVILLE NF,BALDY,2015-08-01,515.18595033,UNKNOWN
WAOWF,OKAN-WEN NF,WOLVERINE,2015-06-29,65549.74496403,LIGHTNING
WANES,WA DNR - NE REGION,CARPENTER ROAD,2015-08-14,64043.29159494,LIGHTNING
WASPD,SPOKANE BLM,REACH,2015-08-14,89093.40391715,UNKNOWN
WANES,WA DNR - NE REGION,ROY,2015-08-14,120.26315236,UNKNOWN
WANCP,NORTH CASCADES NP,ROCKY BEAVER,2015-08-10,140.98689395,LIGHTNING
