UNITID,AGENCY,FIRENAME,STARTDATE,ACRES,CAUSE
WANES,WA DNR - NE REGION,RED LAKE,1997-01-01,1150.8925627,UNKNOWN
WANES,WA DNR - NE REGION,BUCKEYE,1987-01-01,227.33273899,UNKNOWN
WANES,WA DNR - NE REGION,STONY PEAK,1985-01-01,289.5896455,UNKNOWN
WANES,WA DNR - NE REGION,LIBERTY LAKE,1985-01-01,855.37991371,UNKNOWN
WANES,WA DNR - NE REGION,RAIL CANYON,1994-08-01,102.0968386,UNKNOWN
WANES,WA DNR - NE REGION,CORK SCREW,1994-08-01,185.87267875,UNKNOWN
WANES,WA DNR - NE REGION,OWENS RD,1994-08-01,127.00405485,UNKNOWN
WANES,WA DNR - NE REGION,NEWKIRK - OLD TRAIL RD,1997-01-01,772.41805753,UNKNOWN
WANES,WA DNR - NE REGION,RIVERSIDE,1994-08-01,455.86572383,UNKNOWN
WANES,WA DNR - NE REGION,UNKNOWN,1991-08-01,407.72478287,UNKNOWN
WANES,WA DNR - NE REGION,UNKNOWN,1991-08-01,235.15460223,UNKNOWN
WANES,WA DNR - NE REGION,UNKNOWN,1973-01-01,499.72147776,UNKNOWN
WANES,WA DNR - NE REGION,UNKNOWN,1991-08-01,100.46829673,UNKNOWN
WANES,WA DNR - NE REGION,UNKNOWN,1991-08-01,26.39785582,UNKNOWN
WASES,WA DNR - SE REGION,CLEVELAND FIRE,1998-07-27,18500.419857900004,LIGHTNING
WASES,WA DNR - SE REGION,MAJOR CREEK FIRE,1999-07-01,730.60635447,UNKNOWN
WASES,WA DNR - SE REGION,EASTON FIRE,1999-09-11,75.93894012,UNKNOWN
WASES,WA DNR - SE REGION,MIDDLE FORK FIRE,2000-08-29,2.24146902,UNKNOWN
WASES,WA DNR - SE REGION,WHITES BASIN FIRE,2000-07-17,122.67797005,UNKNOWN
WAOWF,OKAN-WEN NF,BAILEY FIRE,2001-08-13,3211.96752531,UNKNOWN
WASES,WA DNR - SE REGION,DRY CREEK FIRE,2001-08-01,17.14686611,UNKNOWN
WANES,WA DNR - NE REGION,GAMBLES MILL FIRE (BREWSTER,2001-08-12,5516.094728,UNKNOWN
